id,title,content,type,tags,source
faq_delivery_delay,Жалоба: задержка доставки,"Ответ: Спасибо, что сообщили. Понимаю, как неприятно ждать дольше обещанного. Подскажите,
пожалуйста, номер заказа и дату оформления — проверим статус и вернёмся с решением. Если удобнее,
укажите контакт для связи.",template_reply,"delivery,negative,complaint",mvp_seed
faq_damaged_item,Жалоба: товар повреждён/брак,"Ответ: Спасибо за отзыв и извините за неудобства. Подскажите, пожалуйста, номер заказа и приложите
фото повреждения — так мы быстрее разберёмся. Мы проверим ситуацию и предложим варианты решения.",template_reply,"quality,negative,complaint",mvp_seed
faq_double_charge,Критично: двойное списание,"Если клиент сообщает о двойном списании: 1) извиниться, 2) запросить номер заказа/время
операции/последние 4 цифры карты (если допустимо), 3) сообщить, что передаём в платежную команду, 4)
указать, что проверка занимает время, без обещаний сроков.",playbook,"payment,negative,urgent",mvp_seed
faq_thanks_positive,Благодарность: позитивный отзыв,"Ответ: Спасибо за тёплые слова! Очень рады, что вам понравилось. Если будет время — расскажите, что
именно оказалось самым полезным, это помогает нам улучшаться.",template_reply,"positive,thanks",mvp_seed
idea_feature_request,Предложение: запрос новой функции,"Ответ: Спасибо за идею — звучит полезно. Уточните, пожалуйста, в каком сценарии вы чаще всего хотите
использовать эту возможность, чтобы мы корректно передали запрос команде.",template_reply,"idea,feature_request,neutral",mvp_seed
summary_example_topics,Пример сводки: топ тем и оценок,"Сводка за неделю: 120 отзывов. Негатив 35%, нейтральные 40%, позитив 25%. Топ тем: доставка (42),
качество (25), поддержка (18), оплата (12). Повторяющиеся проблемы: задержки доставки, повреждения
при транспортировке, долгий ответ чата.",summary_example,"analytics,summary",mvp_seed
common_phrases_delivery,Частые формулировки: доставка,"“доставка опоздала”, “жду уже неделю”, “курьер не отвечает”, “не привезли в обещанный день”, “статус
не обновляется”",phrase_bank,"phrases,delivery",mvp_seed
common_phrases_support,Частые формулировки: поддержка,"“никто не отвечает”, “оператор отвечает долго”, “в чате тишина”, “не могу дозвониться”, “обещали
перезвонить”",phrase_bank,"phrases,support",mvp_seed
faq_promo_not_working,Жалоба: промокод не работает,"Ответ: Спасибо, что сообщили. Давайте проверим промокод: подскажите, пожалуйста, сам код и что
именно происходит (ошибка/не применяется скидка), а также условия заказа (сумма, товары). Мы уточним
причину и вернёмся с решением.",template_reply,"promo,pricing,negative,complaint",mvp_seed
faq_app_crash_payment,Жалоба: приложение вылетает при оплате,"Ответ: Спасибо за сигнал и извините за неудобства. Уточните, пожалуйста, модель телефона, версию ОС
и версию приложения, а также на каком шаге оплаты происходит сбой. Мы передадим информацию команде и
поможем подобрать обходной вариант, если он доступен.",template_reply,"app,bug,payment,negative,urgent",mvp_seed
faq_return_policy,Вопрос/проблема: как оформить возврат,"Ответ: Подскажите, пожалуйста, номер заказа и причину возврата. Я подскажу следующий шаг и какие
данные нужны для оформления. Если у вас есть фото/видео проблемы — это ускорит проверку.",template_reply,"return,neutral,support",mvp_seed
faq_wrong_size_exchange,Жалоба: привезли не тот размер / нужна замена,"Ответ: Извините за ситуацию. Подскажите, пожалуйста, номер заказа и какой размер пришёл / какой
нужен. Мы проверим наличие и подскажем вариант обмена/коррекции заказа.",template_reply,"exchange,delivery,negative,complaint",mvp_seed
faq_too_many_notifications,Жалоба: слишком много уведомлений,"Ответ: Спасибо за обратную связь. Уточните, пожалуйста, какие именно уведомления мешают и где вы их
получаете (push/почта/смс). Мы подскажем настройки, а также передадим пожелание команде.",template_reply,"notifications,ux,neutral,complaint",mvp_seed
idea_change_address_after_order,Предложение: менять адрес доставки после оформления,"Ответ: Спасибо за идею. Уточните, пожалуйста, как часто вам нужно менять адрес и на каком этапе
заказа это критично (сразу после оформления/в день доставки). Мы передадим кейс команде.",template_reply,"idea,delivery,feature_request,neutral",mvp_seed
